"Player","Team","Age","Position","Games","Starts","Minutes","Attempted.Passes","Successful.Passes","Key.Passes","Assists","Crosses","Long.Balls","Through.Balls"
"Kelechi Iheanacho","Manchester City",19,"Forward",22,3,430,213,165,11,1,0,2,0
"Glenn Murray","Crystal Palace",32,"FW",2,2,128,25,15,3,0,0,0,0
"Alessandro Diamanti","Watford",32,"D(C),M(CLR),FW",3,0,65,49,34,2,0,2,6,0
"Emmanuel Emenike","West Ham",28,"AM(R),FW",9,5,441,124,92,7,0,0,1,0
"Cameron Jerome","Norwich",29,"AM(L),FW",31,16,1518,353,228,6,2,0,6,0
"Matt Grimes","Swansea",20,"Midfielder",1,1,90,44,32,1,0,0,5,0
"Demarai Gray","Leicester",19,"AM(LR)",8,0,91,59,46,3,1,2,3,0
"Matthew Jarvis","Norwich",29,"D(C),M(CLR),FW",16,12,939,221,169,13,1,14,10,0
"Lewis Grabban","Bournemouth",28,"FW",11,2,395,166,138,1,0,1,6,1
"Nabil Bentaleb","Tottenham",21,"DMC",5,2,168,97,77,2,0,0,2,0
"Cristian Gamboa","West Bromwich Albion",26,"D(R)",1,0,27,12,9,0,0,0,0,0
"Falcao","Chelsea",30,"AM(LR),FW",10,1,228,84,63,2,0,0,2,0
"Adlène Gu_dioura","Watford",30,"D(C),M(C)",14,1,219,126,82,6,1,4,8,0
"Lo•c Remy","Chelsea",29,"M(CLR),FW",13,3,285,101,85,4,0,0,3,0
"Papiss Demba Ciss_","Newcastle United",30,"AM(LR),FW",17,10,817,311,233,8,0,2,17,0
"Nathan Dyer","Swansea",28,"M(CR)",1,0,18,10,10,2,0,0,0,0
"Matthew Jarvis","West Ham",29,"D(C),M(CLR),FW",3,0,74,21,17,0,0,0,0,0
"Scott Sinclair","Aston Villa",27,"AM(CLR)",23,16,1326,283,245,5,0,2,7,0
"Stephen Ireland","Stoke",29,"D(C),M(CR),FW",12,0,207,143,122,6,1,2,6,2
"Nathan Dyer","Leicester",28,"M(CR)",12,0,213,64,46,4,1,2,2,0
"Patrick McNair","Manchester United",20,"D(C)",8,3,312,194,153,1,0,1,14,0
"Kieran Richardson","Aston Villa",31,"D(CL),M(CL),FW",11,8,723,270,209,4,1,2,14,0
"Andreas Pereira","Manchester United",20,"Midfielder",4,0,80,49,42,3,0,4,0,0
"Daniel Amartey","Leicester",21,"Midfielder",5,1,102,66,54,1,0,0,3,0
"Tyrone Mings","Bournemouth",23,"D(L)",1,0,12,3,3,0,0,0,0,0
"Siem de Jong","Newcastle United",27,"AM(C),FW",17,3,446,189,140,2,1,2,5,0
"Jay Rodriguez","Southampton",26,"AM(CLR),FW",10,2,274,70,54,3,0,2,1,1
"Florian Thauvin","Newcastle United",23,"AM(CLR)",13,3,420,172,118,5,0,5,3,0
"Jake Clarke-Salter","Chelsea",18,"Defender",1,0,16,6,6,0,0,0,0,0
"Rickie Lambert","West Bromwich Albion",34,"FW",19,5,618,274,186,11,1,0,6,2
"Eder","Swansea",28,"FW",13,2,269,86,63,3,0,0,1,0
"Bradley Johnson","Norwich",28,"M(CL),FW",4,1,151,67,47,2,0,2,3,0
"Michel Vorm","Tottenham",32,"GK",1,1,90,45,42,0,0,0,8,0
"Peter Crouch","Stoke",35,"AM(L),FW",9,2,278,98,63,2,0,0,0,0
"Danny Graham","Sunderland",30,"AM(L),FW",10,4,360,88,49,0,0,0,3,0
"Marouane Chamakh","Crystal Palace",32,"AM(CL),FW",10,1,251,93,73,4,0,0,1,0
"Lewis Grabban","Norwich",28,"FW",6,3,250,70,59,5,0,2,2,0
"Yoan Gouffran","Newcastle United",29,"D(C),M(CLR),FW",8,2,224,91,72,1,0,1,7,0
"Callum Connolly","Everton",18,"Defender",1,0,36,8,8,0,0,0,2,0
"Marc Wilson","Stoke",28,"D(CLR),DMC,M(R)",4,1,259,113,84,1,0,1,10,0
"Giedrius Arlauskis","Watford",28,"GK",1,0,23,5,2,0,0,0,2,0
"Yohan Benalouane","Leicester",29,"D(CLR),DMC",4,0,66,14,4,0,0,0,0,0
"Rolando Aarons","Newcastle United",20,"Midfielder",8,3,362,115,96,2,0,3,7,0
"James Wilson","Manchester United",20,"FW",1,0,8,7,6,0,0,0,0,0
"Eunan O'Kane","Bournemouth",25,"DMC",16,6,752,379,292,6,1,0,30,0
"Peter Odemwingie","Stoke",34,"AM(LR),FW",5,0,101,49,44,0,0,1,1,0
"Manu Garc’a","Manchester City",18,"Midfielder",1,0,10,18,18,0,0,0,1,0
"Tokelo Rantie","Bournemouth",25,"FW",3,0,38,11,10,1,0,0,0,0
"Charles N'Zogbia","Aston Villa",29,"D(C),M(CLR),FW",2,0,41,9,9,0,0,0,0,0
"Leon Osman","Everton",34,"D(C),M(CLR),FW",7,2,203,128,110,0,0,0,3,0
"Harrison Reed","Southampton",21,"DMC",1,0,10,9,7,0,0,0,0,0
"Jo‹o Teixeira","Liverpool",23,"AM(CLR)",1,0,3,3,3,0,0,0,0,0
"Steven Berghuis","Watford",24,"AM(R),FW",5,0,86,33,22,2,0,1,5,0
"Jonathan Leko","West Bromwich Albion",16,"Midfielder",2,0,22,0,0,0,0,0,0,0
"Jordan Lyden","Aston Villa",20,"Midfielder",3,1,78,29,24,1,0,0,1,0
"Yann Kermorgant","Bournemouth",34,"AM(CL),FW",7,0,125,59,42,1,0,0,3,0
"Patrick Bamford","Crystal Palace",22,"AM(CLR),FW",6,0,119,31,20,2,0,0,0,0
"Andrej Kramaric","Leicester",24,"FW",2,0,22,11,8,1,0,0,0,0
"Josh Onomah","Tottenham",18,"Midfielder",7,0,33,28,21,1,0,0,0,0
"Kevin Nolan","West Ham",33,"M(CR),FW",2,1,57,15,14,0,0,0,0,0
"Steven Caulker","Liverpool",24,"D(CL)",3,0,4,9,4,0,0,0,0,0
"Juanmi","Southampton",22,"AM(CL),FW",12,0,162,48,37,4,0,0,0,0
"Marvin Emnes","Swansea",27,"AM(C),FW",2,1,66,14,10,0,0,0,0,0
"Emmanuel Rivière","Newcastle United",26,"AM(L),FW",3,1,64,19,18,1,0,1,0,0
"V’ctor Ibarbo","Watford",25,"AM(CLR),FW",4,0,65,21,15,0,0,0,0,0
"Fraizer Campbell","Crystal Palace",28,"D(C),M(L),FW",11,4,361,76,57,1,0,0,1,0
"Alex Pritchard","Tottenham",22,"AM(CL)",1,0,5,3,3,0,0,0,0,0
"Nick Powell","Manchester United",22,"AM(C),FW",1,0,16,2,1,0,0,0,0,0
"Seydou Doumbia","Newcastle United",28,"AM(L),FW",3,0,29,8,6,0,0,0,0,0
"Mamadou Obbi Oular_","Watford",20,"Forward",2,0,5,3,2,0,0,0,0,0
"Shaun MacDonald","Bournemouth",27,"M(C)",3,0,29,18,16,0,0,0,1,0
"Jonathan Williams","Crystal Palace",22,"AM(C)",1,0,10,5,5,0,0,0,0,0
"Patrick Roberts","Manchester City",19,"Midfielder",1,0,4,3,3,0,0,0,0,0
"James Weir","Manchester United",20,"Midfielder",1,0,1,0,0,0,0,0,0,0
"Josh Cullen","West Ham",20,"Midfielder",1,0,1,0,0,0,0,0,0,0
"Will Keane","Manchester United",23,"FW",1,0,4,0,0,0,0,0,0,0
"Joe Dodoo","Leicester",20,"Forward",1,0,19,6,3,0,0,0,0,0
"Jos_ çngel Crespo","Aston Villa",29,"D(CLR),M(R)",1,1,90,27,24,0,0,0,5,0
"Kyle Lafferty","Norwich",28,"AM(LR),FW",1,0,13,4,4,0,0,0,0,0
"Oumar Niasse","Everton",26,"FW",3,0,19,10,5,0,0,0,0,0
"Gary Hooper","Norwich",28,"FW",2,0,11,5,4,0,0,0,1,0
"Adam Federici","Bournemouth",31,"GK",5,5,406,83,59,0,0,0,26,0
"Ivan Toney","Newcastle United",20,"Forward",2,0,10,3,2,0,0,0,0,0
"Hiram Boateng","Crystal Palace",20,"Midfielder",1,0,18,4,3,0,0,0,0,0
"Jakob Haugaard","Stoke",23,"Goalkeeper",2,2,180,55,27,0,0,0,24,0
"Adam Bogdan","Liverpool",28,"GK",1,1,90,11,4,0,0,0,4,0
