Receiver,Team,Age,Pos,G,GS,Tgt,Rec,Ctch.,Yds,Y.R,TD,Lng,R.G,Y.G,Fmb
Christine Michael,2TM,25,,8,2,6,3,50.00%,16,5.3,0,11,0.4,2,0
Cierre Wood,BUF,24,,2,0,1,1,100.00%,-6,-6,0,-6,0.5,-3,0
Clay Harbor,JAX,28,TE,15,2,20,14,70.00%,149,10.6,1,26,0.9,9.9,0
Clive Walford,OAK,24,TE,16,2,50,28,56.00%,329,11.8,3,33,1.8,20.6,0
Coby Fleener,IND,27,TE/WR,16,11,84,54,64.30%,491,9.1,3,57,3.4,30.7,0
Cody Davis,STL,26,,16,0,2,1,50.00%,20,20,0,20,0.1,1.3,1
Cody Latimer,DEN,23,WR,14,1,11,6,54.50%,59,9.8,1,15,0.4,4.2,0
Cole Beasley,DAL,26,WR,16,3,75,52,69.30%,536,10.3,5,30,3.3,33.5,2
Cooper Helfet,SEA,26,TE,13,2,22,13,59.10%,130,10,0,20,1,10,0
Cordarrelle Patterson,MIN,24,WR,16,1,2,2,100.00%,10,5,0,9,0.1,0.6,1
Corey Brown,CAR,24,WR,14,11,54,31,57.40%,447,14.4,4,39,2.2,31.9,0
Corey Fuller,DET,25,,12,0,9,4,44.40%,76,19,0,48,0.3,6.3,1
Corey Grant,JAX,24,,6,0,3,2,66.70%,13,6.5,0,8,0.3,2.2,1
Cory Harkey,STL,25,FB/TE,16,6,6,5,83.30%,26,5.2,0,12,0.3,1.6,0
Craig Stevens,TEN,31,TE,16,11,16,12,75.00%,121,10.1,2,27,0.8,7.6,0
Crockett Gillmore,BAL,24,TE,10,10,47,33,70.20%,412,12.5,4,46,3.3,41.2,0
Damien Williams,MIA,23,,16,0,28,21,75.00%,142,6.8,1,23,1.3,8.9,2
Dan Herron,2TM,26,,10,0,10,9,90.00%,47,5.2,0,9,0.9,4.7,1
Daniel Brown,BAL,23,WR,6,1,11,6,54.50%,64,10.7,0,31,1,10.7,0
Daniel Fells,NYG,32,TE,2,1,7,6,85.70%,60,10,0,23,3,30,0
Danny Amendola,NWE,30,WR,14,7,87,65,74.70%,648,10,3,41,4.6,46.3,1
Danny Woodhead,SDG,30,RB,16,1,106,80,75.50%,755,9.4,6,61,5,47.2,0
Darius Jennings,CLE,23,WR,4,1,21,14,66.70%,117,8.4,0,16,3.5,29.3,1
Darrel Young,WAS,28,FB,16,3,6,6,100.00%,22,3.7,0,8,0.4,1.4,1
Darren Fells,ARI,29,TE,14,12,28,21,75.00%,311,14.8,3,48,1.5,22.2,0
Darren McFadden,DAL,28,RB,16,10,53,40,75.50%,328,8.2,0,21,2.5,20.5,3
Darren Sproles,PHI,32,RB/WR,16,4,83,55,66.30%,388,7.1,1,35,3.4,24.3,1
Darren Waller,BAL,23,WR,6,1,6,2,33.30%,18,9,0,17,0.3,3,0
Darrius Heyward-Bey,PIT,28,WR,16,4,39,21,53.80%,314,15,2,66,1.3,19.6,0
Davante Adams,GNB,23,WR,13,12,94,50,53.20%,483,9.7,1,40,3.8,37.2,0
David Cobb,TEN,22,RB,7,1,2,1,50.00%,-2,-2,0,-2,0.1,-0.3,0
David Johnson,ARI,24,RB,16,5,57,36,63.20%,457,12.7,4,55,2.3,28.6,4
David Johnson,SDG,28,TE,16,4,2,1,50.00%,4,4,0,4,0.1,0.3,1
De'Anthony Thomas,KAN,22,WR,10,1,25,17,68.00%,140,8.2,1,36,1.7,14,2
DeAndre Hopkins,HOU,23,WR,16,16,192,111,57.80%,1521,13.7,11,61,6.9,95.1,1
DeAndrew White,SFO,NA,,4,0,2,2,100.00%,18,9,0,10,0.5,4.5,1
DeAngelo Williams,PIT,32,RB,16,10,47,40,85.10%,367,9.2,0,34,2.5,22.9,4
Delanie Walker,TEN,31,TE,15,10,133,94,70.70%,1088,11.6,6,61,6.3,72.5,0
DeMarco Murray,PHI,27,RB,15,8,55,44,80.00%,322,7.3,1,44,2.9,21.5,2
Demaryius Thomas,DEN,28,WR,16,16,177,105,59.30%,1304,12.4,6,72,6.6,81.5,2
Demetrius Harris,KAN,24,TE,16,9,11,7,63.60%,74,10.6,1,25,0.4,4.6,0
Denard Robinson,JAX,25,RB,13,3,30,21,70.00%,164,7.8,0,16,1.6,12.6,3
Deonte Thompson,CHI,26,,7,0,3,2,66.70%,81,40.5,0,45,0.3,11.6,0
Derek Carrier,WAS,25,FB/TE/WR,12,11,22,17,77.30%,141,8.3,1,20,1.4,11.8,0
