Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
Dane Cruikshank,TEN,23,,12,0,1,1,100.00%,66,66,1,66,0.1,5.5,0
Sean Culkin,LAC,25,TE,13,10,1,1,100.00%,24,24,0,24,0.1,1.8,0
Benny Cunningham,CHI,28,,15,0,2,1,50.00%,9,9,0,9,0.1,0.6,0
Chase Daniel,CHI,32,qb,5,2,1,1,100.00%,8,8,0,8,0.2,1.6,4
Dion Dawkins,BUF,24,T,16,16,1,1,100.00%,7,7,1,7,0.1,0.4,0
Taylor Decker,DET,25,T,16,16,1,1,100.00%,11,11,1,11,0.1,0.7,0
Gehrig Dieter,KAN,25,,4,0,3,1,33.30%,22,22,0,22,0.3,5.5,0
George Fant,SEA,26,t/te,16,7,1,1,100.00%,9,9,0,9,0.1,0.6,0
Matt Flanagan,WAS,23,wr,3,1,1,1,100.00%,14,14,0,14,0.3,4.7,0
Nick Foles,PHI,29,qb,5,5,1,1,100.00%,10,10,0,15,0.2,2,4
Shelton Gibson,PHI,23,,15,0,3,1,33.30%,48,48,0,48,0.1,3.2,0
Mike Gillislee,NOR,28,,4,0,1,1,100.00%,9,9,0,9,0.3,2.3,1
Justin Hardee,NOR,24,,16,0,1,1,100.00%,10,10,0,10,0.1,0.6,0
Keon Hatcher,OAK,24,,3,0,2,1,50.00%,8,8,0,8,0.3,2.7,0
Ryan Hewitt,IND,27,te/wr,12,2,2,1,50.00%,1,1,1,1,0.1,0.1,0
Darrius Heyward-Bey,PIT,31,wr,14,2,2,1,50.00%,9,9,0,9,0.1,0.6,0
Brian Hill,ATL,23,,10,0,2,1,50.00%,9,9,0,9,0.1,0.9,1
Jeremy Hill,NWE,26,,1,0,1,1,100.00%,6,6,0,6,1,6,0
JJ Jones,2TM,26,,4,0,1,1,100.00%,3,3,0,3,0.3,0.8,2
Ryan Kelly,IND,25,C,12,12,1,1,100.00%,-4,-4,0,-4,0.1,-0.3,1
Marcus Kemp,KAN,23,,16,0,2,1,50.00%,7,7,0,7,0.1,0.4,0
Darvin Kidsy,WAS,23,,2,0,2,1,50.00%,8,8,0,8,0.5,4,0
Allen Lazard,GNB,23,,1,0,1,1,100.00%,7,7,0,7,1,7,0
Khari Lee,BUF,26,,2,0,1,1,100.00%,5,5,0,5,0.5,2.5,0
Andrew Luck*,IND,29,QB,16,16,2,1,50.00%,4,4,0,4,0.1,0.3,6
Josh Malone,CIN,22,,9,0,5,1,20.00%,12,12,0,12,0.1,1.3,0
Marcus Mariota,TEN,25,QB,14,13,1,1,100.00%,21,21,0,21,0.1,1.5,9
Johnny Mundt,LAR,24,,10,0,1,1,100.00%,5,5,0,5,0.1,0.5,0
Cam Phillips,BUF,23,,2,0,1,1,100.00%,9,9,0,9,0.5,4.5,0
Spencer Pulley,NYG,25,C,13,9,1,1,100.00%,-2,-2,0,-2,0.1,-0.2,0
Richard Rodgers,PHI,26,,7,0,1,1,100.00%,7,7,0,7,0.1,1,0
Ben Roethlisberger,PIT,36,QB,16,16,1,1,100.00%,-1,-1,0,-1,0.1,-0.1,7
Matt Ryan,ATL,33,QB,16,16,1,1,100.00%,5,5,1,5,0.1,0.3,10
Matt Schaub,ATL,37,,3,0,1,1,100.00%,-7,-7,0,-7,0.3,-2.3,1
Sam Shields,LAR,31,cb/rcb,16,2,1,1,100.00%,12,12,0,12,0.1,0.8,0
Bradley Sowell,CHI,29,fb,16,1,2,1,50.00%,2,2,1,2,0.1,0.1,0
Joe Staley,SFO,34,T,16,16,1,1,100.00%,-5,-5,0,-5,0.1,-0.3,0
Tyrone Swoopes,SEA,24,te,1,1,1,1,100.00%,23,23,0,23,1,23,0
Ryan Tannehill,MIA,30,QB,11,11,1,1,100.00%,3,3,1,3,0.1,0.3,5
Robert Turbin,IND,29,,2,0,2,1,50.00%,3,3,0,3,0.5,1.5,1
Alejandro Villanueva*,PIT,30,T,16,16,1,1,100.00%,2,2,1,2,0.1,0.1,0
Dan Vitale,GNB,25,,5,0,2,1,50.00%,2,2,0,2,0.2,0.4,0
DeAndre Washington,OAK,25,,10,0,1,1,100.00%,9,9,0,9,0.1,0.9,1
Justin Watson,TAM,23,,12,0,3,1,33.30%,5,5,0,5,0.1,0.4,0
Derek Watt,LAC,26,fb,16,5,1,1,100.00%,2,2,0,2,0.1,0.1,0
Carson Wentz,PHI,26,QB,11,11,1,1,100.00%,4,4,0,4,0.1,0.4,9
Tim White,BAL,24,,3,0,1,1,100.00%,14,14,0,14,0.3,4.7,1
Jonathan Williams,NOR,24,,3,0,1,1,100.00%,1,1,0,1,0.3,0.3,0
Kyle Williams*,BUF,35,dt/LDT/rdt,16,16,1,1,100.00%,9,9,0,9,0.1,0.6,0
Russell Wilson*,SEA,30,QB,16,16,1,1,100.00%,-11,-11,0,-11,0.1,-0.7,10
Brandon Zylstra,MIN,25,,16,0,2,1,50.00%,23,23,0,23,0.1,1.4,0
